location_key,YEAR,country_code,country_name,aggregation_level,new_confirmed,new_deceased,new_recovered,new_tested,cumulative_confirmed,cumulative_deceased,cumulative_recovered,cumulative_tested,population,population_male,population_female,population_rural,population_urban,population_largest_city,population_clustered,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,X4
CK,2021,CK,Cook Islands,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17564.0,9281.0,8768.0,1758851.0,3850231.0,2159137.0,3137690.0,73.183,0.735,2343.0,2596.0,2608.0,1747.0,2276.0,2977.0,1899.0,1105.0,499.0,0.0
CK,2022,CK,Cook Islands,0,6389.0,1.0,0.0,0.0,6389.0,1.0,0.0,0.0,17564.0,9281.0,8768.0,1758851.0,3850231.0,2159137.0,3137690.0,73.183,0.735,2343.0,2596.0,2608.0,1747.0,2276.0,2977.0,1899.0,1105.0,499.0,0.0
CL,2020,CL,Chile,0,577177.0,16608.0,44946.0,6494042.0,608973.0,16608.0,44946.0,0.0,17574003.0,8972014.0,8601989.0,2341903.0,16610135.0,6723516.0,6723516.0,25.71,0.832,2428079.0,2493879.0,2995538.0,2945404.0,2578404.0,2352271.0,1791787.0,993126.0,537721.0,369.525486026149
CL,2021,CL,Chile,0,1201645.0,22507.0,0.0,20690254.0,1806494.0,39115.0,0.0,0.0,17574003.0,8972014.0,8601989.0,2341903.0,16610135.0,6723516.0,6723516.0,25.71,0.832,2428079.0,2493879.0,2995538.0,2945404.0,2578404.0,2352271.0,1791787.0,993126.0,537721.0,1177.3216381037378
CL,2022,CL,Chile,0,2589675.0,21707.0,0.0,12588917.0,4568495.0,60822.0,0.0,0.0,17574003.0,8972014.0,8601989.0,2341903.0,16610135.0,6723516.0,6723516.0,25.71,0.832,2428079.0,2493879.0,2995538.0,2945404.0,2578404.0,2352271.0,1791787.0,993126.0,537721.0,716.337478717854
CM,2020,CM,Cameroon,0,26848.0,448.0,0.0,0.0,26848.0,448.0,0.0,0.0,26545864.0,13277075.0,13268789.0,11135124.0,14741256.0,3822425.0,7358544.0,56.157,0.556,7846026.0,6176459.0,4551787.0,3399842.0,2141843.0,1288477.0,733299.0,332734.0,75397.0,0.0
CM,2021,CM,Cameroon,0,82818.0,1405.0,0.0,0.0,109666.0,1853.0,0.0,0.0,26545864.0,13277075.0,13268789.0,11135124.0,14741256.0,3822425.0,7358544.0,56.157,0.556,7846026.0,6176459.0,4551787.0,3399842.0,2141843.0,1288477.0,733299.0,332734.0,75397.0,0.0
CM,2022,CM,Cameroon,0,11986.0,82.0,0.0,0.0,121652.0,1935.0,0.0,2731181.0,26545864.0,13277075.0,13268789.0,11135124.0,14741256.0,3822425.0,7358544.0,56.157,0.556,7846026.0,6176459.0,4551787.0,3399842.0,2141843.0,1288477.0,733299.0,332734.0,75397.0,0.0
CN,2020,CN,China,0,97543.0,4818.0,22610.0,0.0,96675.0,4788.0,90486.0,160000000.0,1439323774.0,738247340.0,701076434.0,554781038.0,842933962.0,26317104.0,398976116.0,153.312,0.752,170667620.0,166604610.0,185147170.0,228830425.0,216111763.0,222185873.0,151663905.0,71494305.0,26618103.0,0.0
CN,2021,CN,China,0,38529.0,1199.0,30262.0,0.0,131780.0,5699.0,120748.0,0.0,1439323774.0,738247340.0,701076434.0,554781038.0,842933962.0,26317104.0,398976116.0,153.312,0.752,170667620.0,166604610.0,185147170.0,228830425.0,216111763.0,222185873.0,151663905.0,71494305.0,26618103.0,0.0
