location_key,YEAR,country_code,country_name,aggregation_level,new_confirmed,new_deceased,new_recovered,new_tested,cumulative_confirmed,cumulative_deceased,cumulative_recovered,cumulative_tested,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,new_persons_vaccinated_pfizer,cumulative_persons_vaccinated_pfizer,new_persons_fully_vaccinated_pfizer,cumulative_persons_fully_vaccinated_pfizer,new_vaccine_doses_administered_pfizer,cumulative_vaccine_doses_administered_pfizer,new_persons_vaccinated_moderna,cumulative_persons_vaccinated_moderna,new_persons_fully_vaccinated_moderna,cumulative_persons_fully_vaccinated_moderna,new_vaccine_doses_administered_moderna,cumulative_vaccine_doses_administered_moderna,new_persons_vaccinated_janssen,cumulative_persons_vaccinated_janssen,new_persons_fully_vaccinated_janssen,cumulative_persons_fully_vaccinated_janssen,new_vaccine_doses_administered_janssen,cumulative_vaccine_doses_administered_janssen,new_persons_vaccinated_sinovac,total_persons_vaccinated_sinovac,new_persons_fully_vaccinated_sinovac,total_persons_fully_vaccinated_sinovac,new_vaccine_doses_administered_sinovac,total_vaccine_doses_administered_sinovac,population,population_male,population_female,population_rural,population_urban,population_largest_city,population_clustered,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older
LR,2020,LR,Liberia,0.0,1856.0,89.0,0.0,0.0,1856.0,89.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5057677.0,2542539.0,2515138.0,2388948.0,2548426.0,1467026.0,1467026.0,52.509,0.435,1418816.0,1175025.0,840853.0,629808.0,444196.0,283828.0,168470.0,76455.0,20226.0
LR,2021,LR,Liberia,0.0,4888.0,198.0,0.0,0.0,6744.0,287.0,0.0,0.0,748434.0,784838.0,755123.0,755263.0,843909.0,880313.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5057677.0,2542539.0,2515138.0,2388948.0,2548426.0,1467026.0,1467026.0,52.509,0.435,1418816.0,1175025.0,840853.0,629808.0,444196.0,283828.0,168470.0,76455.0,20226.0
LR,2022,LR,Liberia,0.0,1185.0,7.0,0.0,0.0,7929.0,294.0,0.0,139824.0,2718867.0,3503705.0,2194431.0,2949694.0,2625321.0,3505634.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5057677.0,2542539.0,2515138.0,2388948.0,2548426.0,1467026.0,1467026.0,52.509,0.435,1418816.0,1175025.0,840853.0,629808.0,444196.0,283828.0,168470.0,76455.0,20226.0
LS,2020,LS,Lesotho,0.0,2577.0,64.0,0.0,0.0,2577.0,64.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2142252.0,1056950.0,1085302.0,1517760.0,607508.0,2159137.0,3137690.0,70.562,0.52,478748.0,428821.0,395192.0,327281.0,210251.0,140771.0,96813.0,48309.0,16066.0
LS,2021,LS,Lesotho,0.0,27411.0,609.0,0.0,0.0,29988.0,673.0,0.0,0.0,782175.0,782175.0,727406.0,727528.0,857925.0,857925.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2142252.0,1056950.0,1085302.0,1517760.0,607508.0,2159137.0,3137690.0,70.562,0.52,478748.0,428821.0,395192.0,327281.0,210251.0,140771.0,96813.0,48309.0,16066.0
LS,2022,LS,Lesotho,0.0,4299.0,31.0,0.0,553.0,34287.0,704.0,0.0,459732.0,142073.0,924248.0,145133.0,872661.0,219191.0,1077116.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2142252.0,1056950.0,1085302.0,1517760.0,607508.0,2159137.0,3137690.0,70.562,0.52,478748.0,428821.0,395192.0,327281.0,210251.0,140771.0,96813.0,48309.0,16066.0
LT,2020,LT,Lithuania,0.0,149105.0,1893.0,0.0,1646429.0,149105.0,1893.0,0.0,1646429.0,7338.0,9755.0,0.0,0.0,7338.0,9755.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2794184.0,1295591.0,1498593.0,895831.0,1891013.0,537563.0,3137690.0,44.7,0.839,292389.0,266287.0,345322.0,350470.0,374254.0,425044.0,343396.0,235483.0,161539.0
LT,2021,LT,Lithuania,0.0,378801.0,5541.0,0.0,5265312.0,527906.0,7434.0,0.0,6911741.0,1908055.0,1917810.0,1831079.0,1832173.0,4122117.0,4131872.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2794184.0,1295591.0,1498593.0,895831.0,1891013.0,537563.0,3137690.0,44.7,0.839,292389.0,266287.0,345322.0,350470.0,374254.0,425044.0,343396.0,235483.0,161539.0
LT,2022,LT,Lithuania,0.0,704461.0,1867.0,0.0,1806445.0,1232367.0,9301.0,0.0,8718186.0,37088.0,1954898.0,46308.0,1878481.0,367791.0,4499663.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2794184.0,1295591.0,1498593.0,895831.0,1891013.0,537563.0,3137690.0,44.7,0.839,292389.0,266287.0,345322.0,350470.0,374254.0,425044.0,343396.0,235483.0,161539.0
LU,2020,LU,Luxembourg,0.0,46736.0,509.0,0.0,787441.0,46736.0,509.0,0.0,1651995.0,1251.0,1251.0,0.0,0.0,1251.0,1252.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,613894.0,308720.0,305174.0,54408.0,565488.0,2159137.0,3137690.0,235.1,0.916,65947.0,65866.0,84163.0,95974.0,92360.0,87825.0,60143.0,37334.0,24282.0
