location_key,X1_hospital_beds,X2_physicians,X3_ghs_early_detection,X4_testing_rate,X5_ghs_index,X6_internet_users,X7_age_60_plus,X8_smoking,X9_diabetes,Y_is_ready
FM,2.3,1.57655,33.3,0.0,36.65,75.44895,7.84552386086019,,,0
FO,2.3,1.57655,33.3,0.0,36.65,75.44895,25.441522562161055,,,0
FR,2.3,3.2672,100.0,2390.0533871972048,61.9,86.0955,26.1917682305953,,,0
GA,2.3,0.6819,33.3,41.21348161140984,21.8,68.6436,5.353619130459786,,,1
GB,2.3,2.8117,100.0,4969.420010277415,67.2,96.1965,23.990371855872763,,,0
GD,2.3,1.4067,0.0,0.0,26.7,70.5594,14.873932402527574,,,0
GE,2.3,7.1201,50.0,2707.219412535173,52.6,76.4427,21.498480262209604,,,0
GF,2.3,1.57655,33.3,0.0,36.65,75.44895,8.865281469924536,,,0
GG,2.3,1.57655,33.3,0.0,36.65,75.44895,23.768885517415768,,,0
GH,2.3,0.1359,50.0,24.951642015264405,34.3,68.6,5.287928131691412,,,1
GI,2.3,1.57655,33.3,0.0,36.65,75.44895,22.15725267875694,,,0
GL,2.3,1.57655,33.3,0.0,36.65,75.44895,14.808356231945325,,,0
GM,2.3,0.1021,16.7,0.0,28.7,37.6247,3.9396871058616343,,,1
GN,2.3,0.0832,16.7,0.0,26.8,24.3044,4.706889441331287,,,1
GQ,2.3,0.4017,0.0,12.059287875494038,17.4,58.7173,3.7833619033703143,,,1
GR,4.3,5.4789,66.7,3120.162627991965,51.5,78.4943,28.301095453545628,,,0
GT,2.3,0.3549,16.7,149.12137584035156,29.1,50.8416,7.230929392298887,,,0
GU,2.3,1.57655,33.3,787.9644276971022,36.65,75.44895,15.212432531712317,,,0
GW,2.3,0.1274,0.0,0.0,21.4,23.3519,4.571498548270882,,,1
GY,2.3,0.8023,0.0,0.0,30.8,71.6509,10.84508600117728,,,0
HK,2.3,1.57655,33.3,0.0,36.65,75.44895,26.054516827291174,,,1
HN,2.3,0.3089,16.7,0.0,26.2,51.9516,7.369054888391342,,,1
HR,5.6,2.9996,33.3,352.2164756494088,48.8,81.254,27.875084084719127,,,0
HT,2.3,0.2343,0.0,0.0,30.4,0.0,7.743902166299366,,,1
HU,2.3,3.4075,33.3,662.3887877687728,54.4,88.6408,26.449345507040185,,,0
ID,1.2,0.4269,50.0,126.6420862423432,50.4,62.1045,10.06285961679339,,,1
IE,2.3,3.3125,100.0,1563.5774350358058,55.3,96.4235,19.222693016654976,,,0
IL,2.3,4.6249,16.7,2992.4105263899737,47.2,90.2969,16.457538587131644,,,0
IM,2.3,1.57655,33.3,0.0,36.65,75.44895,30.302709568162573,,,0
IN,2.3,0.8571,50.0,359.28844530446906,42.8,0.0,10.116669303192104,,,1
IQ,2.3,0.7079,33.3,219.45949012670843,24.0,65.0022,5.10776517314201,,,1
IR,2.3,1.5844,66.7,134.2410713908344,36.5,78.5957,10.293564747033004,,,1
IS,2.3,4.0778,50.0,1702.6703754436385,48.5,99.687,19.768285474983962,,,0
IT,2.3,3.9774,66.7,1881.044615544325,51.9,74.8623,29.20800133254813,,,0
JE,2.3,1.57655,33.3,0.0,36.65,75.44895,23.82654028436019,,,0
JM,2.3,1.3061,0.0,71.7880588053132,31.8,82.3607,13.269457486438597,,,0
JO,1.4,2.3237,83.3,538.532549783694,42.8,86.0,6.082872527476836,,,1
JP,2.3,2.4115,83.3,185.71241139596117,60.5,82.9141,34.32416410649324,,,0
KE,2.3,0.1565,33.3,0.0330845636984785,38.8,0.0,4.1610357197984795,,,1
KG,2.3,1.57655,33.3,0.0,36.65,75.44895,8.101004400392323,,,1
KH,0.8,1.57655,66.7,17.590735697789054,31.1,57.9592,7.565483545608159,,,1
KI,1.9,1.57655,0.0,0.0,26.2,0.0,6.749493494968438,,,1
KM,2.3,0.2715,0.0,0.0,24.9,30.6812,5.121809578021953,,,1
KN,2.3,2.6758,33.3,257.78312528199734,36.65,75.44895,19.367574071288914,,,0
KR,11.5,2.3608,50.0,792.6762359368979,65.4,97.5713,23.15316005718289,,,0
KW,2.3,2.6463,16.7,1085.0253233590045,36.8,99.7,6.5308719248492535,,,1
KY,2.3,1.57655,33.3,0.0,36.65,75.44895,24.621119902617163,,,0
KZ,2.3,1.57655,0.0,334.0934062612789,46.1,90.924,12.223788761256166,,,1
LA,2.3,0.3726,50.0,117.29165441101684,34.8,62.0,6.791893293103647,,,1
LB,2.3,2.1038,33.3,34.79510923981187,33.4,82.656,11.201428420313292,,,0
LC,2.3,0.6409,33.3,0.0,36.65,75.44895,14.881636342843452,,,0
LI,2.3,1.57655,100.0,1762.0772317473552,46.4,95.5694,24.527072802126217,,,0
LK,2.3,1.0041,50.0,253.9822773282897,34.1,44.4531,16.434656112453737,,,1
LR,2.3,0.0376,0.0,0.0,35.7,20.5771,5.242545144737396,,,1
LS,2.3,1.57655,0.0,0.0,30.9,45.0567,7.5242315096449905,,,1
LT,2.3,6.3528,50.0,1884.3827035012723,59.5,86.9305,26.49854125569397,,,0
LU,4.8,3.009,83.3,3538.6711712445467,48.4,98.6609,19.83388011611125,,,0
LV,2.3,3.1905,66.7,2436.076017933632,61.9,91.1796,27.01701278354639,,,0
LY,2.3,2.0905,33.3,178.80434917068666,25.3,88.5598,6.911136152514078,,,1
MA,2.3,0.7308,50.0,133.6818045395033,33.6,88.1303,11.852698081670834,,,1
MC,2.3,1.57655,0.0,0.0,33.3,99.0776,24.630516766894303,,,0
MD,2.3,3.2066,16.7,459.1722829386388,41.0,74.495,18.891769706365675,,,0
ME,2.3,2.7557,50.0,0.0,44.1,82.2197,21.69831335525618,,,0
MG,2.3,1.57655,16.7,3.486401132439366,30.4,13.7459,5.012047407861734,,,1
MH,2.3,1.57655,0.0,52.20123661181877,24.6,63.9726,7.029428658309963,,,0
MK,2.3,2.8736,33.3,167.16414748797862,36.65,75.44895,20.212196432388506,,,0
ML,2.3,0.1286,16.7,0.0,29.0,33.9565,3.860087935143807,,,1
MM,2.3,0.677,50.0,45.66527121936908,38.3,56.5261,10.0030152659648,,,1
MN,2.3,2.8592,50.0,1483.5103157375852,41.0,81.6068,7.289771624980325,,,1
MO,2.3,1.57655,33.3,0.0,36.65,75.44895,18.87141136719941,,,1
MP,2.3,1.57655,33.3,556.0922216237817,36.65,75.44895,9.816355960178605,,,0
MQ,2.3,1.57655,33.3,0.0,36.65,75.44895,29.241735840006395,,,0
MR,2.3,0.1865,0.0,0.4019648748510643,26.2,29.9707,5.0931465956650595,,,1
MS,2.3,1.57655,33.3,0.0,36.65,75.44895,11.302260452090419,,,0
MT,2.3,2.8598,50.0,2102.804325318756,40.2,87.4698,24.88760209012499,,,0
MU,2.3,2.5331,50.0,0.0,39.7,71.6,18.427982484212908,,,0
MV,2.3,4.5627,50.0,2895.8064313226355,32.0,81.9576,5.739979502055345,,,1
MW,2.3,0.0358,16.7,1.018925554189751,28.5,17.4703,4.092811509488653,,,1
MX,1.5,2.3827,100.0,77.35926585596705,57.0,75.6265,9.059556777057523,,,0
MY,1.9,1.5358,66.7,1149.2218438604336,56.4,96.7514,11.17150609087624,,,1
MZ,2.3,0.0838,16.7,21.09930640862941,30.4,16.3576,4.38165714218983,,,1
NC,2.3,1.57655,33.3,0.0,36.65,75.44895,14.1920410801041,,,1
NE,0.3,0.0433,16.7,0.0,28.7,17.474,4.112793698389153,,,1
NG,2.3,0.3806,33.3,0.9265663271169744,38.0,35.5098,4.5119208471102645,,,1
NI,2.3,0.9775,66.7,0.0,36.3,47.0806,8.686441381563197,,,1
NL,2.3,3.6054,83.3,918.6464101744672,64.7,92.053,25.52251705993052,,,1
NO,2.3,2.9164,66.7,1223.7433495514067,60.2,99.0,22.94548340043527,,,0
NP,2.3,0.7486,50.0,126.29787724173492,34.0,45.293,8.653061790433599,,,1
NR,2.3,1.3462,0.0,0.0,18.0,0.0,5.898098578549012,,,1
NZ,2.3,3.5898,66.7,558.0184532767288,62.5,96.1151,22.21232362683429,,,0
OM,2.3,2.0031,50.0,0.0,39.1,95.2388,4.2653049315183305,,,1
PA,2.3,1.5687,33.3,705.7021374034479,53.5,77.031,12.240658130402377,,,0
PE,2.3,1.3048,66.7,0.0,54.9,71.1078,11.903852047064102,,,0
PF,2.3,1.57655,33.3,0.0,36.65,75.44895,13.581864266795773,,,1
PG,2.3,0.0699,33.3,0.0,25.0,23.2437,5.997210022949523,,,1
PH,2.3,0.6004,50.0,172.01659631182045,45.7,66.9078,7.475560610672863,,,1
PK,2.3,0.9801,50.0,75.40680984529065,30.4,21.4107,6.738539963164227,,,1
PL,2.3,2.3788,50.0,495.2720383204699,55.7,85.3749,24.90976701962446,,,0
PR,2.3,1.57655,33.3,657.7679982103158,36.65,75.44895,27.68948980019854,,,0
PS,2.3,1.57655,33.3,363.6288434426834,36.65,75.44895,4.938158346623761,,,1
PT,2.3,5.124,66.7,2062.133093020787,54.7,82.309,28.34569975703094,,,0
PW,2.3,1.57655,0.0,0.0,25.5,0.0,21.86601812956003,,,0
PY,2.3,1.3544,33.3,208.83305082488263,40.3,77.0184,9.900694423998218,,,0
QA,2.3,2.4852,16.7,1456.1046975765864,48.7,99.6528,3.561605797866063,,,1
RE,2.3,1.57655,33.3,0.0,36.65,75.44895,18.271924298677103,,,0
RO,2.3,2.9807,16.7,0.0,45.7,83.5904,25.427725049033047,,,0
RS,2.3,3.1131,33.3,710.0705882623248,45.0,81.1659,27.804919868048373,,,0
RU,2.3,4.0139,50.0,415.24119114841005,49.1,88.2138,22.411768269125744,,,0
RW,2.3,0.134,16.7,152.3835046207176,33.1,24.4416,5.120771290827688,,,1
SA,2.3,2.6117,66.7,641.1895581723226,44.9,100.0,5.850789284626152,,,1
SB,2.3,0.1937,0.0,0.0,23.3,41.8392,5.625161964715714,,,0
SC,2.3,2.1212,0.0,0.0,31.8,87.3383,12.989627821842586,,,0
SD,2.3,0.2618,66.7,0.0,28.3,0.0,5.669725075690543,,,1
SE,2.3,3.984,100.0,1075.0454659422094,64.9,94.6703,25.42258033456873,,,0
SG,2.4,2.2936,66.7,0.0,57.4,96.9247,20.934567426217573,,,1
SI,2.3,3.0861,66.7,5612.6022870785255,67.8,89.004,26.839004895939656,,,0
SK,5.8,3.4156,50.0,7920.980232536165,54.4,88.9256,22.74512372530489,,,0
SL,2.3,1.57655,50.0,2.877277567903161,32.7,18.6539,4.629731659267255,,,1
SM,2.3,1.57655,0.0,0.0,32.9,81.67,25.735164122812186,,,0
SN,2.3,0.0691,16.7,39.22938043816475,32.8,57.2554,4.815434608243106,,,1
SO,2.3,1.57655,33.3,0.0,16.0,0.0,4.556150645127334,,,1
SR,2.3,1.2101,16.7,78.10832648636118,35.0,76.572,10.817988728917861,,,0
SS,2.3,1.57655,0.0,2.8303347347429977,21.3,0.0,5.15180419322283,,,1
ST,2.3,0.0531,33.3,0.0,36.65,75.44895,4.984919762183965,,,1
SV,2.3,1.5662,33.3,83.7151053444073,40.8,61.7527,12.057689855741442,,,1
SX,2.3,1.57655,33.3,0.0,36.65,75.44895,13.518492607620914,,,0
SY,2.3,1.2874,0.0,0.0,16.7,0.0,7.532322929362023,,,1
SZ,2.3,0.3285,33.3,0.0,36.65,75.44895,5.705572660416975,,,1
TC,2.3,1.57655,33.3,0.0,36.65,75.44895,9.667338188956041,,,0
TD,2.3,0.0434,16.7,0.0,23.9,13.1283,3.9355080303562815,,,1
TG,2.3,0.0774,16.7,52.88621354757537,27.8,30.3384,4.69287823648441,,,1
TH,2.3,0.805,83.3,230.81124753363105,68.2,85.2696,19.215119236857067,,,1
TL,2.3,0.7224,33.3,5.692324728732853,36.65,75.44895,6.57230276341318,,,1
TN,2.3,1.3025,33.3,69.82643825191744,31.5,68.3155,13.432484238004816,,,0
TO,2.3,1.57655,0.0,0.0,26.4,57.5486,8.724940159134128,,,1
TR,2.3,1.8492,16.7,1152.635493524563,50.0,81.4084,12.965319129648034,,,0
TT,2.3,4.1675,0.0,303.1423567568495,36.8,84.3658,16.924939138586815,,,0
TW,2.3,1.57655,33.3,203.71893339883337,36.65,75.44895,22.92114276597062,,,0
TZ,2.3,0.014,0.0,0.0,31.3,19.0314,4.230935460721647,,,1
