location_key,X1_hospital_beds,X2_physicians,X3_ghs_early_detection,X4_testing_rate,X5_ghs_index,X7_age_60_plus,Y_is_ready
AD,2.3,3.3333,,0.0,,36.20138484436679,0
AE,2.3,2.5278,,9210.46984955108,,3.144635201811858,1
AF,0.5,0.2782,,0.0,,4.222825729973954,1
AG,2.3,2.956,,0.0,,14.089943632056205,0
AI,2.3,1.57655,,0.0,,15.284628716171177,0
AL,2.3,1.2164,,411.2069932263775,,19.510960454188,1
AM,4.2,4.4023,,667.9769468087907,,18.453723195670676,0
AO,2.3,0.2146,,0.0,,3.6579085784217598,1
AR,2.3,3.9901,,380.27206921284255,,12.741437716327964,0
AS,2.3,1.57655,,0.0,,1036.6650361432687,0
AT,2.3,5.1697,,13516.79989614817,,24.967334648413576,0
AU,2.3,3.6778,,1713.6714481138167,,21.775921228808873,0
AW,2.3,1.57655,,7.427458179570275,,21.82249030590263,0
AZ,2.3,1.57655,,149.00452946122343,,11.639240865257774,1
BA,2.3,2.1616,,189.220971008728,,25.29100238812612,0
BB,2.3,2.4843,,0.0,,23.153345327120693,0
BD,0.8,0.5809,,50.20068597864624,,7.959658213061616,1
BE,2.3,3.0709,,1782.7078808040037,,25.104598054439958,0
BF,2.3,0.0847,,0.0,,3.9267812445492996,1
BG,2.3,4.0332,,280.3370095509468,,28.194357202867014,0
BH,2.3,0.9257,,2182.5888011340026,,5.30317945113462,1
BI,2.3,0.1001,,0.0,,4.072970480240112,1
BJ,2.3,0.0791,,0.0,,5.081480975564368,1
BM,2.3,1.57655,,0.0,,29.664541615146213,0
BN,2.7,1.609,,1.3280516042909096,,9.498883385182967,1
BO,2.3,1.5901,,228.65127808728997,,10.367300552410176,0
BR,2.3,2.1643,,124.08334744664256,,14.046632958035746,0
BS,2.3,2.0068,,57.40652209292864,,12.220278297664578,0
BT,2.3,0.4242,,1300.994541297958,,8.965386748780475,1
BW,2.3,0.5269,,0.0,,7.024546855897517,1
BY,2.3,5.1905,,57.37618607728534,,22.61809076017208,1
BZ,2.3,1.1229,,7.353736346923326,,7.636166097867064,0
CA,2.3,2.6102,,918.3542424456556,,24.894017053662303,0
CD,2.3,0.074,,0.0,,4.678327731441102,1
CF,2.3,0.0721,,0.0,,4.474276589912054,1
CG,2.3,1.57655,,0.0,,4.525966584101896,1
CH,2.3,4.2957,,1297.9566920439247,,24.35278161096571,0
CI,2.3,1.57655,,32.66445588272925,,4.682429006445645,1
CK,2.3,1.57655,,0.0,,19.9442040537463,1
CL,2.3,2.5912,,1177.3216381037378,,18.90652914990398,0
CM,2.3,1.57655,,0.0,,4.29984121066845,1
CN,2.3,1.9798,,0.0,,17.353726625792536,1
CO,2.3,2.1848,,422.4953719211357,,13.161058245047588,0
CR,1.2,2.8939,,361.2068752289407,,15.04895650156239,0
CU,2.3,8.4218,,335.0296328576867,,21.25241113497624,1
CV,2.3,0.7814,,310.7063461801334,,7.558796233012223,1
CW,2.3,1.57655,,8.17794028031688,,24.513711151736743,0
CY,2.3,1.9509,,21007.32276209928,,21.632402822699877,0
CZ,6.5,4.1208,,1123.412364551447,,25.968346823414524,0
DE,2.3,4.2488,,0.0,,28.159079272408903,0
DK,2.5,4.0099,,7418.239945326288,,25.46869394347065,0
DM,2.3,1.1189,,0.0,,4.051895375810865,0
DO,2.3,1.56,,35.98897999097337,,11.109593152741764,1
DZ,1.9,1.7193,,0.0,,9.90667656411274,1
EC,2.3,2.0368,,75.83984864303585,,11.001147193287332,1
EE,5.0,4.4833,,1426.650412886279,,26.188765266224845,0
EG,2.3,0.4521,,0.0,,8.225443988762997,1
ER,2.3,0.0628,,0.0,,6.435773244451387,1
ES,2.3,3.8723,,0.0,,25.380697044084144,0
ET,0.3,0.0769,,14.97403747411039,,5.325511644848438,1
FI,4.4,3.8118,,1132.8946655432962,,28.405600009713805,0
FJ,2.3,0.86,,429.5059144798783,,9.628041461597155,0
FM,2.3,1.57655,,0.0,,7.84552386086019,0
FO,2.3,1.57655,,0.0,,25.441522562161055,0
FR,2.3,3.2672,,2390.0533871972048,,26.1917682305953,0
GA,2.3,0.6819,,41.21348161140984,,5.353619130459786,1
GB,2.3,2.8117,,4969.420010277415,,23.990371855872763,0
GD,2.3,1.4067,,0.0,,14.873932402527574,0
GE,2.3,7.1201,,2707.219412535173,,21.498480262209604,0
GF,2.3,1.57655,,0.0,,8.865281469924536,0
GG,2.3,1.57655,,0.0,,23.768885517415768,0
GH,2.3,0.1359,,24.951642015264405,,5.287928131691412,1
GI,2.3,1.57655,,0.0,,22.15725267875694,0
GL,2.3,1.57655,,0.0,,14.808356231945325,0
GM,2.3,0.1021,,0.0,,3.9396871058616343,1
GN,2.3,0.0832,,0.0,,4.706889441331287,1
GQ,2.3,0.4017,,12.059287875494038,,3.7833619033703143,1
GR,4.3,5.4789,,3120.162627991965,,28.301095453545628,0
GT,2.3,0.3549,,149.12137584035156,,7.230929392298887,0
GU,2.3,1.57655,,787.9644276971022,,15.212432531712317,0
GW,2.3,0.1274,,0.0,,4.571498548270882,1
GY,2.3,0.8023,,0.0,,10.84508600117728,0
HK,2.3,1.57655,,0.0,,26.054516827291174,1
HN,2.3,0.3089,,0.0,,7.369054888391342,1
HR,5.6,2.9996,,352.2164756494088,,27.875084084719127,0
HT,2.3,0.2343,,0.0,,7.743902166299366,1
HU,2.3,3.4075,,662.3887877687728,,26.449345507040185,0
ID,1.2,0.4269,,126.6420862423432,,10.06285961679339,1
IE,2.3,3.3125,,1563.5774350358058,,19.222693016654976,0
IL,2.3,4.6249,,2992.4105263899737,,16.457538587131644,0
IM,2.3,1.57655,,0.0,,30.302709568162573,0
IN,2.3,0.8571,,359.28844530446906,,10.116669303192104,1
IQ,2.3,0.7079,,219.45949012670843,,5.10776517314201,1
IR,2.3,1.5844,,134.2410713908344,,10.293564747033004,1
IS,2.3,4.0778,,1702.6703754436385,,19.768285474983962,0
IT,2.3,3.9774,,1881.044615544325,,29.20800133254813,0
JE,2.3,1.57655,,0.0,,23.82654028436019,0
JM,2.3,1.3061,,71.7880588053132,,13.269457486438597,0
JO,1.4,2.3237,,538.532549783694,,6.082872527476836,1
JP,2.3,2.4115,,185.71241139596117,,34.32416410649324,0
KE,2.3,0.1565,,0.0330845636984785,,4.1610357197984795,1
KG,2.3,1.57655,,0.0,,8.101004400392323,1
KH,0.8,1.57655,,17.590735697789054,,7.565483545608159,1
KI,1.9,1.57655,,0.0,,6.749493494968438,1
KM,2.3,0.2715,,0.0,,5.121809578021953,1
KN,2.3,2.6758,,257.78312528199734,,19.367574071288914,0
KR,11.5,2.3608,,792.6762359368979,,23.15316005718289,0
KW,2.3,2.6463,,1085.0253233590045,,6.5308719248492535,1
KY,2.3,1.57655,,0.0,,24.621119902617163,0
KZ,2.3,1.57655,,334.0934062612789,,12.223788761256166,1
LA,2.3,0.3726,,117.29165441101684,,6.791893293103647,1
LB,2.3,2.1038,,34.79510923981187,,11.201428420313292,0
LC,2.3,0.6409,,0.0,,14.881636342843452,0
LI,2.3,1.57655,,1762.0772317473552,,24.527072802126217,0
LK,2.3,1.0041,,253.9822773282897,,16.434656112453737,1
LR,2.3,0.0376,,0.0,,5.242545144737396,1
LS,2.3,1.57655,,0.0,,7.5242315096449905,1
LT,2.3,6.3528,,1884.3827035012723,,26.49854125569397,0
LU,4.8,3.009,,3538.6711712445467,,19.83388011611125,0
LV,2.3,3.1905,,2436.076017933632,,27.01701278354639,0
LY,2.3,2.0905,,178.80434917068666,,6.911136152514078,1
MA,2.3,0.7308,,133.6818045395033,,11.852698081670834,1
MC,2.3,1.57655,,0.0,,24.630516766894303,0
MD,2.3,3.2066,,459.1722829386388,,18.891769706365675,0
ME,2.3,2.7557,,0.0,,21.69831335525618,0
MG,2.3,1.57655,,3.486401132439366,,5.012047407861734,1
MH,2.3,1.57655,,52.20123661181877,,7.029428658309963,0
MK,2.3,2.8736,,167.16414748797862,,20.212196432388506,0
ML,2.3,0.1286,,0.0,,3.860087935143807,1
MM,2.3,0.677,,45.66527121936908,,10.0030152659648,1
MN,2.3,2.8592,,1483.5103157375852,,7.289771624980325,1
MO,2.3,1.57655,,0.0,,18.87141136719941,1
MP,2.3,1.57655,,556.0922216237817,,9.816355960178605,0
MQ,2.3,1.57655,,0.0,,29.241735840006395,0
MR,2.3,0.1865,,0.4019648748510643,,5.0931465956650595,1
MS,2.3,1.57655,,0.0,,11.302260452090419,0
MT,2.3,2.8598,,2102.804325318756,,24.88760209012499,0
MU,2.3,2.5331,,0.0,,18.427982484212908,0
MV,2.3,4.5627,,2895.8064313226355,,5.739979502055345,1
MW,2.3,0.0358,,1.018925554189751,,4.092811509488653,1
MX,1.5,2.3827,,77.35926585596705,,9.059556777057523,0
MY,1.9,1.5358,,1149.2218438604336,,11.17150609087624,1
MZ,2.3,0.0838,,21.09930640862941,,4.38165714218983,1
NC,2.3,1.57655,,0.0,,14.1920410801041,1
NE,0.3,0.0433,,0.0,,4.112793698389153,1
NG,2.3,0.3806,,0.9265663271169744,,4.5119208471102645,1
NI,2.3,0.9775,,0.0,,8.686441381563197,1
NL,2.3,3.6054,,918.6464101744672,,25.52251705993052,1
NO,2.3,2.9164,,1223.7433495514067,,22.94548340043527,0
